PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
3,NVP-LGK974,Alpelisib,3000,300,43.1764692322764,nM
3,NVP-LGK974,Alpelisib,3000,100,31.7314984498,nM
3,NVP-LGK974,Alpelisib,3000,30,23.273976234109,nM
3,NVP-LGK974,Alpelisib,3000,10,21.7498242338324,nM
3,NVP-LGK974,Alpelisib,3000,0,20.0832151954174,nM
3,NVP-LGK974,Alpelisib,10000,10000,100.116409068382,nM
3,NVP-LGK974,Alpelisib,10000,3000,64.9419683505642,nM
3,NVP-LGK974,Alpelisib,10000,1000,56.018348835333,nM
3,NVP-LGK974,Alpelisib,10000,300,47.4723096250706,nM
3,NVP-LGK974,Alpelisib,10000,100,37.7285248320137,nM
3,NVP-LGK974,Alpelisib,10000,30,30.9376116547376,nM
3,NVP-LGK974,Alpelisib,10000,10,26.8367852656086,nM
3,NVP-LGK974,Alpelisib,10000,0,30.064889411385,nM
4,BMS-754807,Trametinib,0,0,-3.0929372126453,nM
4,BMS-754807,Trametinib,0,0.3,8.68826077585159,nM
4,BMS-754807,Trametinib,0,0.9,21.1647011349143,nM
4,BMS-754807,Trametinib,0,3,42.0832313698544,nM
4,BMS-754807,Trametinib,0,9,50.8063352948136,nM
4,BMS-754807,Trametinib,0,30,61.3730469604619,nM
4,BMS-754807,Trametinib,0,90,64.4321133909515,nM
4,BMS-754807,Trametinib,0,300,65.1429136327467,nM
4,BMS-754807,Trametinib,10,0,5.78380069070466,nM
4,BMS-754807,Trametinib,10,0.3,16.9786614072419,nM
4,BMS-754807,Trametinib,10,0.9,28.6480371962771,nM
4,BMS-754807,Trametinib,10,3,42.505238626953,nM
4,BMS-754807,Trametinib,10,9,57.9094758780068,nM
4,BMS-754807,Trametinib,10,30,66.6014640605071,nM
4,BMS-754807,Trametinib,10,90,70.0271128318405,nM
4,BMS-754807,Trametinib,10,300,69.3532625342151,nM
4,BMS-754807,Trametinib,30,0,7.12274998338873,nM
4,BMS-754807,Trametinib,30,0.3,14.8550119844227,nM
4,BMS-754807,Trametinib,30,0.9,31.4766526591805,nM
4,BMS-754807,Trametinib,30,3,46.7350348674583,nM
4,BMS-754807,Trametinib,30,9,57.5866500499959,nM
4,BMS-754807,Trametinib,30,30,68.5092480200178,nM
4,BMS-754807,Trametinib,30,90,70.2799282393189,nM
4,BMS-754807,Trametinib,30,300,70.9547509038961,nM
4,BMS-754807,Trametinib,100,0,7.91425668218673,nM
4,BMS-754807,Trametinib,100,0.3,16.618885635061,nM
4,BMS-754807,Trametinib,100,0.9,33.2784486209406,nM
4,BMS-754807,Trametinib,100,3,47.6296124631513,nM
4,BMS-754807,Trametinib,100,9,62.0128644147728,nM
4,BMS-754807,Trametinib,100,30,70.0251680979368,nM
4,BMS-754807,Trametinib,100,90,73.1377147107775,nM
4,BMS-754807,Trametinib,100,300,73.1143779039334,nM
4,BMS-754807,Trametinib,300,0,8.41599802933631,nM
4,BMS-754807,Trametinib,300,0.3,19.8092216040489,nM
4,BMS-754807,Trametinib,300,0.9,36.258753328331,nM
4,BMS-754807,Trametinib,300,3,50.006077293449,nM
4,BMS-754807,Trametinib,300,9,63.6104633166464,nM
4,BMS-754807,Trametinib,300,30,70.267287468945,nM
4,BMS-754807,Trametinib,300,90,73.4663747404996,nM
4,BMS-754807,Trametinib,300,300,74.0595185811221,nM
4,BMS-754807,Trametinib,1000,0,35.8260500347621,nM
4,BMS-754807,Trametinib,1000,0.3,44.2175768291438,nM
4,BMS-754807,Trametinib,1000,0.9,48.8684079597959,nM
4,BMS-754807,Trametinib,1000,3,63.7709038637001,nM
4,BMS-754807,Trametinib,1000,9,75.0270236982032,nM
4,BMS-754807,Trametinib,1000,30,80.4392181521463,nM
4,BMS-754807,Trametinib,1000,90,83.6130238829529,nM
4,BMS-754807,Trametinib,1000,300,84.9441942400223,nM
4,BMS-754807,Trametinib,3000,0,40.6732992896859,nM
4,BMS-754807,Trametinib,3000,0.3,53.2489210778363,nM
4,BMS-754807,Trametinib,3000,0.9,62.5437767704776,nM
4,BMS-754807,Trametinib,3000,3,74.8607489494385,nM
4,BMS-754807,Trametinib,3000,9,82.5502268045915,nM
4,BMS-754807,Trametinib,3000,30,89.5405728213713,nM
4,BMS-754807,Trametinib,3000,90,90.8581300411149,nM
4,BMS-754807,Trametinib,3000,300,91.8586956345586,nM
4,BMS-754807,Trametinib,10000,0,56.721243462858,nM
4,BMS-754807,Trametinib,10000,0.3,70.1428244991095,nM
4,BMS-754807,Trametinib,10000,0.9,80.5967415983444,nM
4,BMS-754807,Trametinib,10000,3,86.8675360707624,nM
4,BMS-754807,Trametinib,10000,9,89.0223012360404,nM
4,BMS-754807,Trametinib,10000,30,93.9910963599443,nM
4,BMS-754807,Trametinib,10000,90,96.0914089759193,nM
4,BMS-754807,Trametinib,10000,300,100.560407486577,nM
5,AZD1775,Alpelisib,10000,10000,100.460253690538,nM
5,AZD1775,Alpelisib,10000,3000,89.408330915921,nM
5,AZD1775,Alpelisib,10000,1000,86.0157426209503,nM
5,AZD1775,Alpelisib,10000,300,83.5926041769643,nM
5,AZD1775,Alpelisib,10000,100,83.2143534326984,nM
5,AZD1775,Alpelisib,10000,30,80.4907536005938,nM
5,AZD1775,Alpelisib,10000,10,79.1479148401023,nM
5,AZD1775,Alpelisib,10000,0,77.6475526334128,nM
5,AZD1775,Alpelisib,3000,10000,90.6597671829395,nM
5,AZD1775,Alpelisib,3000,3000,87.3342722076457,nM
5,AZD1775,Alpelisib,3000,1000,81.3046247392841,nM
5,AZD1775,Alpelisib,3000,300,79.4503209621247,nM
5,AZD1775,Alpelisib,3000,100,76.6829646171872,nM
5,AZD1775,Alpelisib,3000,30,75.1757958418348,nM
